satisfaction_id,consult_id,customer_id,survey_date,csat,nps,comment
SAT0087,CON0087,C031,2024-07-19,3,10,해결은 됐는데 시간이 좀 걸렸어요.
SAT0088,CON0088,C031,2024-09-09,5,7,
SAT0089,CON0089,C032,2024-11-03,4,6,도움이 됐습니다.
SAT0090,CON0090,C032,2024-10-20,2,6,
SAT0091,CON0091,C032,2024-11-04,1,3,전혀 해결이 안 됐어요.
SAT0092,CON0092,C033,2024-09-29,2,3,개선이 필요한 것 같아요.
SAT0093,CON0093,C033,2024-09-29,2,9,기대보다 별로였어요.
SAT0094,CON0094,C033,2024-11-22,4,10,도움이 됐습니다.
SAT0095,CON0095,C033,2024-05-02,3,6,그럭저럭이에요.
SAT0096,CON0096,C034,2024-08-16,5,8,
SAT0097,CON0097,C034,2024-03-18,5,9,빠른 처리에 매우 만족합니다.
SAT0098,CON0098,C035,2024-05-30,3,6,그럭저럭이에요.
SAT0099,CON0099,C036,2024-04-01,3,6,그럭저럭이에요.
SAT0100,CON0100,C036,2024-07-28,4,2,상담사가 친절했어요.
SAT0101,CON0101,C037,2024-02-06,4,6,
SAT0102,CON0102,C038,2024-03-10,4,5,
SAT0103,CON0103,C038,2024-02-16,2,5,
SAT0104,CON0104,C039,2024-11-27,4,4,상담사가 친절했어요.
SAT0105,CON0105,C039,2024-03-03,3,5,그럭저럭이에요.
SAT0106,CON0106,C039,2024-12-13,3,8,그럭저럭이에요.
SAT0107,CON0107,C040,2024-09-23,3,9,보통이에요.
SAT0108,CON0108,C041,2024-02-18,5,4,
SAT0109,CON0109,C042,2024-01-03,2,8,
SAT0110,CON0110,C042,2024-07-26,3,7,그럭저럭이에요.
SAT0111,CON0111,C043,2024-03-19,2,8,기대보다 별로였어요.
SAT0112,CON0112,C043,2024-02-13,5,6,정말 친절하게 도와주셔서 감사해요!
SAT0113,CON0113,C043,2024-02-24,3,5,그럭저럭이에요.
SAT0114,CON0114,C043,2024-05-29,2,7,개선이 필요한 것 같아요.
SAT0115,CON0115,C045,2024-11-14,2,5,처리가 느렸어요.
SAT0116,CON0116,C045,2024-04-17,4,6,대체로 만족스러웠어요.
SAT0117,CON0117,C045,2024-08-11,3,8,그럭저럭이에요.
SAT0118,CON0118,C046,2024-11-15,4,6,
SAT0119,CON0119,C046,2024-09-19,3,3,
SAT0120,CON0120,C046,2024-08-26,2,3,
SAT0121,CON0121,C046,2024-09-16,3,3,
SAT0122,CON0122,C047,2024-10-06,2,5,
SAT0123,CON0123,C047,2024-06-03,2,6,개선이 필요한 것 같아요.
SAT0124,CON0124,C048,2024-06-07,3,5,보통이에요.
SAT0125,CON0125,C048,2024-08-14,5,9,
SAT0126,CON0126,C048,2024-12-01,4,5,상담사가 친절했어요.
SAT0127,CON0127,C048,2024-03-05,3,4,그럭저럭이에요.
SAT0128,CON0128,C049,2024-11-11,4,5,도움이 됐습니다.
SAT0129,CON0129,C049,2024-04-25,3,5,보통이에요.
SAT0130,CON0130,C049,2024-12-13,4,4,대체로 만족스러웠어요.
SAT0131,CON0131,C050,2024-06-03,3,7,
SAT0132,CON0132,C051,2024-12-04,4,8,
SAT0133,CON0133,C052,2024-09-25,3,2,보통이에요.
SAT0134,CON0134,C052,2024-10-28,5,7,정말 친절하게 도와주셔서 감사해요!
SAT0135,CON0135,C052,2024-09-08,4,5,도움이 됐습니다.
SAT0136,CON0136,C052,2024-11-16,4,6,상담사가 친절했어요.
SAT0137,CON0137,C053,2024-12-02,3,6,그럭저럭이에요.
SAT0138,CON0138,C053,2024-01-07,2,5,처리가 느렸어요.
SAT0139,CON0139,C054,2024-11-17,3,7,
SAT0140,CON0140,C054,2024-01-16,4,5,도움이 됐습니다.
SAT0141,CON0141,C055,2024-10-15,4,9,도움이 됐습니다.
SAT0142,CON0142,C055,2024-06-10,4,7,
SAT0143,CON0143,C055,2024-03-18,3,8,해결은 됐는데 시간이 좀 걸렸어요.
SAT0144,CON0144,C056,2024-08-20,4,6,대체로 만족스러웠어요.
SAT0145,CON0145,C057,2024-08-22,4,4,대체로 만족스러웠어요.
SAT0146,CON0146,C057,2024-12-13,4,3,
SAT0147,CON0147,C060,2024-09-09,1,1,
SAT0148,CON0148,C060,2024-08-11,4,5,상담사가 친절했어요.
SAT0149,CON0149,C060,2024-08-12,4,6,상담사가 친절했어요.
SAT0150,CON0150,C060,2024-08-19,4,8,도움이 됐습니다.
SAT0151,CON0151,C060,2024-09-21,2,7,
SAT0152,CON0152,C060,2024-09-08,2,4,기대보다 별로였어요.
SAT0153,CON0153,C061,2024-12-09,1,4,전혀 해결이 안 됐어요.
SAT0154,CON0154,C061,2024-11-24,1,0,
SAT0155,CON0155,C061,2024-10-31,5,5,
SAT0156,CON0156,C062,2024-11-25,4,7,대체로 만족스러웠어요.
SAT0157,CON0157,C062,2024-10-15,4,7,
SAT0158,CON0158,C063,2024-07-31,4,6,
SAT0159,CON0159,C063,2024-02-06,4,4,상담사가 친절했어요.
SAT0160,CON0160,C063,2024-11-16,4,5,대체로 만족스러웠어요.
SAT0161,CON0161,C064,2024-08-06,4,6,도움이 됐습니다.
SAT0162,CON0162,C064,2024-07-27,4,8,
SAT0163,CON0163,C064,2024-07-12,5,4,정말 친절하게 도와주셔서 감사해요!
SAT0164,CON0164,C064,2024-07-26,5,7,문제가 바로 해결됐어요. 최고입니다.
SAT0165,CON0165,C065,2024-08-24,2,5,
SAT0166,CON0166,C065,2024-03-15,4,5,
SAT0167,CON0167,C066,2024-01-16,4,5,대체로 만족스러웠어요.
SAT0168,CON0168,C066,2024-06-02,4,3,도움이 됐습니다.
SAT0169,CON0169,C067,2024-02-23,4,8,
SAT0170,CON0170,C067,2024-02-29,3,7,
SAT0171,CON0171,C068,2024-09-11,3,2,
SAT0172,CON0172,C068,2024-08-12,5,5,빠른 처리에 매우 만족합니다.
SAT0173,CON0173,C068,2024-08-13,4,7,상담사가 친절했어요.
SAT0174,CON0174,C069,2024-06-25,4,7,상담사가 친절했어요.
SAT0175,CON0175,C070,2024-04-09,2,7,개선이 필요한 것 같아요.
SAT0176,CON0176,C070,2024-09-12,3,7,그럭저럭이에요.
SAT0177,CON0177,C070,2024-06-10,3,2,그럭저럭이에요.
SAT0178,CON0178,C070,2024-05-15,4,8,
SAT0179,CON0179,C072,2024-02-23,3,6,보통이에요.
SAT0180,CON0180,C073,2024-09-22,3,5,보통이에요.
SAT0181,CON0181,C073,2024-05-28,4,1,
SAT0182,CON0182,C073,2024-12-07,4,6,도움이 됐습니다.
SAT0183,CON0183,C073,2024-03-01,3,5,
SAT0184,CON0184,C074,2024-03-25,3,9,그럭저럭이에요.
SAT0185,CON0185,C074,2024-06-15,4,3,대체로 만족스러웠어요.
SAT0186,CON0186,C075,2024-02-02,4,7,도움이 됐습니다.
SAT0187,CON0187,C075,2024-01-31,3,6,보통이에요.
SAT0188,CON0188,C076,2024-08-06,3,7,
SAT0189,CON0189,C076,2024-11-11,4,8,
SAT0190,CON0190,C077,2024-10-24,3,6,그럭저럭이에요.
SAT0191,CON0191,C078,2024-08-28,4,5,도움이 됐습니다.
SAT0192,CON0192,C079,2024-01-28,5,5,문제가 바로 해결됐어요. 최고입니다.
SAT0193,CON0193,C079,2024-10-29,3,5,해결은 됐는데 시간이 좀 걸렸어요.
SAT0194,CON0194,C079,2024-06-25,5,7,빠른 처리에 매우 만족합니다.
SAT0195,CON0195,C079,2024-06-20,2,5,기대보다 별로였어요.
SAT0196,CON0196,C080,2024-06-21,2,6,
SAT0197,CON0197,C080,2024-06-08,2,3,
SAT0198,CON0198,C080,2024-06-23,2,6,기대보다 별로였어요.
SAT0199,CON0199,C081,2024-11-16,4,7,도움이 됐습니다.
SAT0200,CON0200,C081,2024-07-26,3,5,보통이에요.
SAT0201,CON0201,C081,2024-03-20,3,5,보통이에요.
SAT0202,CON0202,C081,2024-08-12,3,10,
SAT0203,CON0203,C082,2024-10-20,4,8,도움이 됐습니다.
SAT0204,CON0204,C082,2024-03-18,2,3,처리가 느렸어요.
SAT0205,CON0205,C082,2024-02-09,4,8,
SAT0206,CON0206,C082,2024-06-06,4,7,대체로 만족스러웠어요.
SAT0207,CON0207,C083,2024-01-23,3,4,
SAT0208,CON0208,C083,2024-01-14,4,7,상담사가 친절했어요.
SAT0209,CON0209,C084,2024-08-06,4,8,상담사가 친절했어요.
SAT0210,CON0210,C084,2024-04-18,4,8,
SAT0211,CON0211,C085,2024-09-25,3,6,보통이에요.
SAT0212,CON0212,C085,2024-12-26,4,5,도움이 됐습니다.
SAT0213,CON0213,C086,2024-09-15,3,7,그럭저럭이에요.
SAT0214,CON0214,C086,2024-08-11,4,4,대체로 만족스러웠어요.
SAT0215,CON0215,C086,2024-08-27,2,3,
SAT0216,CON0216,C087,2024-06-24,2,4,처리가 느렸어요.
SAT0217,CON0217,C087,2024-04-25,4,6,대체로 만족스러웠어요.
SAT0218,CON0218,C087,2024-11-21,2,3,개선이 필요한 것 같아요.
SAT0219,CON0219,C088,2024-09-11,4,6,도움이 됐습니다.
SAT0220,CON0220,C088,2024-06-08,5,4,빠른 처리에 매우 만족합니다.
SAT0221,CON0221,C089,2024-07-01,2,3,개선이 필요한 것 같아요.
SAT0222,CON0222,C089,2024-11-20,4,4,대체로 만족스러웠어요.
SAT0223,CON0223,C089,2024-11-18,4,8,
SAT0224,CON0224,C090,2024-06-19,4,5,대체로 만족스러웠어요.
SAT0225,CON0225,C090,2024-10-01,1,5,다음엔 이용하고 싶지 않아요.
SAT0226,CON0226,C090,2024-08-31,4,5,상담사가 친절했어요.
SAT0227,CON0227,C091,2024-03-11,2,5,기대보다 별로였어요.
SAT0228,CON0228,C091,2024-10-17,3,3,그럭저럭이에요.
SAT0229,CON0229,C093,2024-07-01,4,5,도움이 됐습니다.
SAT0230,CON0230,C093,2024-11-29,4,2,
SAT0231,CON0231,C094,2024-05-05,3,6,그럭저럭이에요.
SAT0232,CON0232,C094,2024-09-16,5,5,문제가 바로 해결됐어요. 최고입니다.
SAT0233,CON0233,C094,2024-01-30,4,6,상담사가 친절했어요.
SAT0234,CON0234,C094,2024-10-24,5,5,문제가 바로 해결됐어요. 최고입니다.
SAT0235,CON0235,C095,2024-05-09,3,3,보통이에요.
SAT0236,CON0236,C095,2024-03-16,3,8,
SAT0237,CON0237,C095,2024-03-24,2,5,기대보다 별로였어요.
SAT0238,CON0238,C096,2024-01-29,1,8,너무 불만족스러워요.
SAT0239,CON0239,C096,2024-02-03,2,5,
SAT0240,CON0240,C096,2024-08-13,3,6,해결은 됐는데 시간이 좀 걸렸어요.
SAT0241,CON0241,C096,2024-10-16,5,8,문제가 바로 해결됐어요. 최고입니다.
SAT0242,CON0242,C097,2024-08-13,2,6,처리가 느렸어요.
SAT0243,CON0243,C097,2024-08-04,1,6,
SAT0244,CON0244,C097,2024-09-02,4,2,도움이 됐습니다.
SAT0245,CON0245,C097,2024-09-03,2,3,처리가 느렸어요.
SAT0246,CON0246,C097,2024-08-07,3,2,보통이에요.
SAT0247,CON0247,C097,2024-08-01,3,5,보통이에요.
SAT0248,CON0248,C098,2024-04-17,3,6,보통이에요.
SAT0249,CON0249,C098,2024-10-21,3,9,보통이에요.
SAT0250,CON0250,C098,2024-08-16,4,7,도움이 됐습니다.
SAT0251,CON0251,C098,2024-11-09,5,7,
SAT0252,CON0252,C099,2024-06-09,3,5,보통이에요.
SAT0253,CON0253,C099,2024-08-17,3,4,그럭저럭이에요.
SAT0254,CON0254,C099,2024-09-26,5,6,정말 친절하게 도와주셔서 감사해요!
SAT0255,CON0255,C100,2024-10-19,3,7,
SAT0256,CON0256,C100,2024-02-04,4,5,
SAT0257,CON0257,C100,2024-05-11,2,4,기대보다 별로였어요.
SAT0258,CON0258,C101,2024-01-22,3,7,보통이에요.
SAT0259,CON0259,C101,2024-11-02,5,5,문제가 바로 해결됐어요. 최고입니다.
SAT0260,CON0260,C101,2024-05-23,3,3,해결은 됐는데 시간이 좀 걸렸어요.
SAT0261,CON0261,C101,2024-07-16,2,5,
SAT0262,CON0262,C102,2024-11-08,3,6,그럭저럭이에요.
SAT0263,CON0263,C102,2024-06-12,5,2,
SAT0264,CON0264,C102,2024-07-04,4,2,도움이 됐습니다.
SAT0265,CON0265,C102,2024-11-04,3,7,보통이에요.
SAT0266,CON0266,C103,2024-04-24,4,8,상담사가 친절했어요.
SAT0267,CON0267,C103,2024-09-25,4,6,대체로 만족스러웠어요.
SAT0268,CON0268,C103,2024-02-08,4,4,
SAT0269,CON0269,C104,2024-01-15,3,7,해결은 됐는데 시간이 좀 걸렸어요.
SAT0270,CON0270,C104,2024-11-22,3,1,
SAT0271,CON0271,C104,2024-12-14,4,5,상담사가 친절했어요.
SAT0272,CON0272,C104,2024-01-16,4,6,상담사가 친절했어요.
SAT0273,CON0273,C105,2024-11-11,4,10,도움이 됐습니다.
SAT0274,CON0274,C105,2024-08-08,4,5,
SAT0275,CON0275,C105,2024-01-13,2,7,기대보다 별로였어요.
SAT0276,CON0276,C105,2024-09-09,3,6,해결은 됐는데 시간이 좀 걸렸어요.
SAT0277,CON0277,C106,2024-02-13,3,9,
SAT0278,CON0278,C106,2024-06-23,2,6,처리가 느렸어요.
SAT0279,CON0279,C106,2024-03-20,4,8,대체로 만족스러웠어요.
SAT0280,CON0280,C107,2024-12-01,4,7,도움이 됐습니다.
SAT0281,CON0281,C107,2024-08-02,3,5,해결은 됐는데 시간이 좀 걸렸어요.
SAT0282,CON0282,C108,2024-03-30,4,8,상담사가 친절했어요.
SAT0283,CON0283,C108,2024-04-09,4,6,상담사가 친절했어요.
SAT0284,CON0284,C108,2024-05-04,4,8,도움이 됐습니다.
SAT0285,CON0285,C109,2024-07-27,1,0,전혀 해결이 안 됐어요.
SAT0286,CON0286,C109,2024-07-28,4,3,
SAT0287,CON0287,C110,2024-12-18,3,2,해결은 됐는데 시간이 좀 걸렸어요.
SAT0288,CON0288,C110,2024-05-19,3,6,해결은 됐는데 시간이 좀 걸렸어요.
SAT0289,CON0289,C110,2024-09-12,5,0,정말 친절하게 도와주셔서 감사해요!
SAT0290,CON0290,C111,2024-11-19,3,7,해결은 됐는데 시간이 좀 걸렸어요.
SAT0291,CON0291,C111,2024-12-12,2,1,
SAT0292,CON0292,C111,2024-12-11,2,0,기대보다 별로였어요.
SAT0293,CON0293,C111,2024-11-19,3,6,보통이에요.
SAT0294,CON0294,C112,2024-05-21,4,7,
SAT0295,CON0295,C112,2024-01-27,5,5,
SAT0296,CON0296,C112,2024-09-07,3,4,
SAT0297,CON0297,C113,2024-10-16,5,6,
SAT0298,CON0298,C113,2024-04-02,4,8,도움이 됐습니다.
SAT0299,CON0299,C114,2024-11-30,3,7,그럭저럭이에요.
SAT0300,CON0300,C114,2024-03-13,4,0,상담사가 친절했어요.
SAT0301,CON0301,C114,2024-02-24,3,6,그럭저럭이에요.
SAT0302,CON0302,C114,2024-01-06,4,3,상담사가 친절했어요.
SAT0303,CON0303,C115,2024-02-18,4,7,도움이 됐습니다.
SAT0304,CON0304,C116,2024-07-23,5,6,빠른 처리에 매우 만족합니다.
SAT0305,CON0305,C117,2024-05-04,3,5,보통이에요.
SAT0306,CON0306,C117,2024-08-15,4,6,도움이 됐습니다.
SAT0307,CON0307,C118,2024-06-13,4,8,상담사가 친절했어요.
SAT0308,CON0308,C118,2024-04-03,2,4,기대보다 별로였어요.
SAT0309,CON0309,C118,2024-09-05,2,6,처리가 느렸어요.
SAT0310,CON0310,C119,2024-02-01,3,7,보통이에요.
SAT0311,CON0311,C120,2024-09-12,2,4,개선이 필요한 것 같아요.
SAT0312,CON0312,C120,2024-08-08,4,2,
SAT0313,CON0313,C120,2024-10-06,2,5,
SAT0314,CON0314,C120,2024-08-13,3,6,
SAT0315,CON0315,C121,2024-09-21,2,3,기대보다 별로였어요.
SAT0316,CON0316,C122,2024-10-06,4,7,도움이 됐습니다.
SAT0317,CON0317,C122,2024-09-03,3,6,보통이에요.
SAT0318,CON0318,C123,2024-04-11,3,6,해결은 됐는데 시간이 좀 걸렸어요.
SAT0319,CON0319,C123,2024-09-04,3,6,그럭저럭이에요.
SAT0320,CON0320,C123,2024-03-01,3,3,그럭저럭이에요.
SAT0321,CON0321,C124,2024-07-09,4,9,
SAT0322,CON0322,C124,2024-11-16,5,6,정말 친절하게 도와주셔서 감사해요!
SAT0323,CON0323,C124,2024-06-14,4,7,도움이 됐습니다.
SAT0324,CON0324,C124,2024-04-06,4,6,대체로 만족스러웠어요.
SAT0325,CON0325,C125,2024-12-04,3,8,해결은 됐는데 시간이 좀 걸렸어요.
SAT0326,CON0326,C125,2024-04-13,3,5,해결은 됐는데 시간이 좀 걸렸어요.
SAT0327,CON0327,C125,2024-06-27,4,5,상담사가 친절했어요.
SAT0328,CON0328,C125,2024-08-19,3,3,보통이에요.
SAT0329,CON0329,C126,2024-12-24,3,5,
SAT0330,CON0330,C126,2024-11-14,4,4,도움이 됐습니다.
SAT0331,CON0331,C126,2024-07-19,2,7,
SAT0332,CON0332,C127,2024-08-07,3,7,해결은 됐는데 시간이 좀 걸렸어요.
SAT0333,CON0333,C127,2024-09-15,3,2,해결은 됐는데 시간이 좀 걸렸어요.
SAT0334,CON0334,C127,2024-08-16,3,6,보통이에요.
SAT0335,CON0335,C127,2024-09-06,2,2,개선이 필요한 것 같아요.
SAT0336,CON0336,C127,2024-08-04,4,7,
SAT0337,CON0337,C128,2024-05-17,2,5,처리가 느렸어요.
SAT0338,CON0338,C128,2024-07-01,3,1,
SAT0339,CON0339,C128,2024-06-04,2,4,개선이 필요한 것 같아요.
SAT0340,CON0340,C128,2024-06-20,1,4,다음엔 이용하고 싶지 않아요.
SAT0341,CON0341,C128,2024-06-20,2,2,기대보다 별로였어요.
SAT0342,CON0342,C129,2024-06-02,3,6,보통이에요.
SAT0343,CON0343,C129,2024-06-16,4,4,
SAT0344,CON0344,C129,2024-05-17,5,3,빠른 처리에 매우 만족합니다.
SAT0345,CON0345,C129,2024-06-26,1,3,너무 불만족스러워요.
SAT0346,CON0346,C129,2024-05-13,3,1,
SAT0347,CON0347,C130,2024-06-02,1,0,너무 불만족스러워요.
SAT0348,CON0348,C130,2024-06-19,2,2,
SAT0349,CON0349,C130,2024-05-04,3,4,그럭저럭이에요.
SAT0350,CON0350,C131,2024-08-03,3,4,그럭저럭이에요.
SAT0351,CON0351,C131,2024-08-23,1,1,전혀 해결이 안 됐어요.
SAT0352,CON0352,C131,2024-09-03,4,0,도움이 됐습니다.
SAT0353,CON0353,C131,2024-08-11,5,6,문제가 바로 해결됐어요. 최고입니다.
SAT0354,CON0354,C131,2024-08-30,2,2,
SAT0355,CON0355,C131,2024-08-16,2,0,처리가 느렸어요.
SAT0356,CON0356,C131,2024-07-24,4,5,상담사가 친절했어요.
SAT0357,CON0357,C132,2024-10-22,4,6,대체로 만족스러웠어요.
SAT0358,CON0358,C133,2024-06-04,5,4,정말 친절하게 도와주셔서 감사해요!
SAT0359,CON0359,C133,2024-08-28,3,5,그럭저럭이에요.
SAT0360,CON0360,C133,2024-10-10,2,6,
SAT0361,CON0361,C133,2024-11-01,3,9,보통이에요.
SAT0362,CON0362,C134,2024-10-29,3,7,그럭저럭이에요.
SAT0363,CON0363,C134,2024-10-22,3,6,보통이에요.
SAT0364,CON0364,C134,2024-12-08,2,0,
SAT0365,CON0365,C134,2024-12-11,3,4,그럭저럭이에요.
SAT0366,CON0366,C135,2024-12-23,2,2,기대보다 별로였어요.
SAT0367,CON0367,C135,2024-05-19,3,6,
SAT0368,CON0368,C136,2024-01-14,5,8,문제가 바로 해결됐어요. 최고입니다.
SAT0369,CON0369,C136,2024-01-24,1,4,너무 불만족스러워요.
SAT0370,CON0370,C136,2024-08-28,5,7,문제가 바로 해결됐어요. 최고입니다.
SAT0371,CON0371,C137,2024-06-10,4,8,상담사가 친절했어요.
SAT0372,CON0372,C137,2024-01-16,3,8,그럭저럭이에요.
SAT0373,CON0373,C137,2024-09-06,3,7,보통이에요.
SAT0374,CON0374,C137,2024-11-14,2,6,처리가 느렸어요.
SAT0375,CON0375,C138,2024-06-26,4,5,도움이 됐습니다.
SAT0376,CON0376,C138,2024-06-08,4,5,
SAT0377,CON0377,C138,2024-09-02,5,6,
SAT0378,CON0378,C139,2024-04-21,5,8,정말 친절하게 도와주셔서 감사해요!
SAT0379,CON0379,C139,2024-02-07,3,8,그럭저럭이에요.
SAT0380,CON0380,C139,2024-03-22,5,8,
SAT0381,CON0381,C140,2024-11-19,5,6,빠른 처리에 매우 만족합니다.
SAT0382,CON0382,C140,2024-05-27,4,2,상담사가 친절했어요.
SAT0383,CON0383,C140,2024-05-04,3,7,해결은 됐는데 시간이 좀 걸렸어요.
SAT0384,CON0384,C140,2024-04-16,2,2,
SAT0385,CON0385,C141,2024-07-24,3,5,
SAT0386,CON0386,C142,2024-07-12,3,8,그럭저럭이에요.
SAT0387,CON0387,C142,2024-09-23,2,2,처리가 느렸어요.
SAT0388,CON0388,C143,2024-10-12,3,6,보통이에요.
SAT0389,CON0389,C143,2024-11-29,4,3,
SAT0390,CON0390,C144,2024-04-11,4,5,
SAT0391,CON0391,C145,2024-05-06,5,7,정말 친절하게 도와주셔서 감사해요!
SAT0392,CON0392,C145,2024-08-18,3,8,해결은 됐는데 시간이 좀 걸렸어요.
SAT0393,CON0393,C146,2024-02-19,3,8,보통이에요.
SAT0394,CON0394,C146,2024-06-26,3,6,그럭저럭이에요.
SAT0395,CON0395,C146,2024-05-04,3,0,해결은 됐는데 시간이 좀 걸렸어요.
SAT0396,CON0396,C147,2024-12-20,3,4,보통이에요.
SAT0397,CON0397,C147,2024-12-20,3,4,
SAT0398,CON0398,C148,2024-08-24,4,8,
SAT0399,CON0399,C148,2024-10-16,3,5,
