consult_id,customer_id,consult_date,channel,category,duration_min,status,is_recontact,agent_id
CON0129,C049,2024-04-23,앱,부가서비스,4,완료,Y,AG05
CON0130,C049,2024-12-12,앱,요금문의,6,완료,N,AG01
CON0131,C050,2024-06-01,전화,장애신고,13,재문의,N,AG13
CON0132,C051,2024-12-02,전화,요금문의,21,재문의,Y,AG02
CON0133,C052,2024-09-23,이메일,해지문의,,완료,N,AG14
CON0134,C052,2024-10-26,전화,요금문의,18,완료,N,AG14
CON0135,C052,2024-09-05,전화,명의변경,19,미해결,N,AG02
CON0136,C052,2024-11-14,전화,장애신고,20,미해결,N,AG12
CON0137,C053,2024-12-01,전화,장애신고,17,완료,N,AG16
CON0138,C053,2024-01-04,이메일,요금문의,,재문의,Y,AG03
CON0139,C054,2024-11-15,전화,요금문의,19,재문의,N,AG03
CON0140,C054,2024-01-13,전화,기타,16,완료,N,AG12
CON0141,C055,2024-10-13,전화,요금문의,15,완료,N,AG13
CON0142,C055,2024-06-09,전화,명의변경,26,완료,N,AG05
CON0143,C055,2024-03-15,이메일,해지문의,,미해결,Y,AG07
CON0144,C056,2024-08-19,전화,부가서비스,9,완료,N,AG02
CON0145,C057,2024-08-19,채팅,장애신고,14,완료,N,AG11
CON0146,C057,2024-12-12,앱,요금문의,4,완료,N,AG10
CON0147,C060,2024-09-07,채팅,기타,10,미해결,N,AG06
CON0148,C060,2024-08-09,전화,해지문의,28,완료,N,AG15
CON0149,C060,2024-08-10,전화,장애신고,21,완료,Y,AG20
CON0150,C060,2024-08-17,전화,해지문의,19,미해결,N,AG14
CON0151,C060,2024-09-18,이메일,요금문의,,미해결,N,AG04
CON0152,C060,2024-09-06,이메일,요금문의,,완료,N,AG03
CON0153,C061,2024-12-06,전화,기타,18,완료,N,AG11
CON0154,C061,2024-11-23,앱,해지문의,9,완료,N,AG04
CON0155,C061,2024-10-30,전화,해지문의,10,완료,N,AG08
CON0156,C062,2024-11-22,전화,요금문의,20,완료,N,AG18
CON0157,C062,2024-10-14,전화,장애신고,12,완료,N,AG13
CON0158,C063,2024-07-30,채팅,해지문의,12,완료,N,AG20
CON0159,C063,2024-02-05,채팅,요금문의,7,완료,N,AG04
CON0160,C063,2024-11-15,전화,요금문의,18,완료,N,AG20
CON0161,C064,2024-08-05,채팅,해지문의,6,완료,N,AG16
CON0162,C064,2024-07-25,전화,기타,10,완료,N,AG08
CON0163,C064,2024-07-09,이메일,기타,,완료,Y,AG19
CON0164,C064,2024-07-24,채팅,해지문의,4,재문의,Y,AG01
CON0165,C065,2024-08-22,채팅,요금문의,10,완료,N,AG19
CON0166,C065,2024-03-13,전화,요금문의,20,완료,Y,AG03
CON0167,C066,2024-01-14,채팅,요금문의,4,미해결,N,AG18
CON0168,C066,2024-06-01,채팅,장애신고,7,미해결,N,AG14
CON0169,C067,2024-02-20,전화,기타,17,재문의,N,AG02
CON0170,C067,2024-02-26,이메일,요금문의,,재문의,N,AG02
CON0171,C068,2024-09-08,채팅,기타,3,완료,Y,AG10
CON0172,C068,2024-08-10,전화,해지문의,19,완료,N,AG01
CON0173,C068,2024-08-11,전화,장애신고,18,완료,N,AG09
CON0174,C069,2024-06-22,전화,요금문의,12,완료,N,AG17
CON0175,C070,2024-04-06,전화,해지문의,18,완료,Y,AG19
CON0176,C070,2024-09-11,채팅,명의변경,9,재문의,N,AG01
CON0177,C070,2024-06-08,채팅,요금문의,10,미해결,N,AG04
CON0178,C070,2024-05-13,전화,요금문의,20,완료,N,AG15
CON0179,C072,2024-02-20,전화,부가서비스,11,완료,N,AG03
CON0180,C073,2024-09-20,앱,해지문의,4,재문의,N,AG20
CON0181,C073,2024-05-27,이메일,해지문의,,재문의,N,AG15
CON0182,C073,2024-12-05,채팅,장애신고,7,미해결,N,AG10
CON0183,C073,2024-02-27,전화,요금문의,23,미해결,N,AG05
CON0184,C074,2024-03-23,이메일,장애신고,,완료,N,AG10
CON0185,C074,2024-06-13,전화,장애신고,18,완료,N,AG19
CON0186,C075,2024-02-01,전화,해지문의,18,완료,N,AG20
CON0187,C075,2024-01-28,이메일,장애신고,,완료,Y,AG12
CON0188,C076,2024-08-04,채팅,기타,9,완료,Y,AG18
CON0189,C076,2024-11-10,채팅,장애신고,10,완료,N,AG07
CON0190,C077,2024-10-21,채팅,해지문의,3,미해결,Y,AG12
CON0191,C078,2024-08-25,채팅,해지문의,4,완료,N,AG01
CON0192,C079,2024-01-25,전화,해지문의,13,완료,Y,AG05
CON0193,C079,2024-10-26,앱,부가서비스,5,미해결,N,AG16
CON0194,C079,2024-06-22,전화,기타,25,재문의,N,AG03
CON0195,C079,2024-06-19,채팅,장애신고,6,완료,N,AG16
CON0196,C080,2024-06-18,이메일,요금문의,,재문의,N,AG17
CON0197,C080,2024-06-05,이메일,해지문의,,재문의,N,AG09
CON0198,C080,2024-06-20,앱,해지문의,3,완료,N,AG06
CON0199,C081,2024-11-13,전화,장애신고,13,완료,N,AG16
CON0200,C081,2024-07-25,채팅,요금문의,4,완료,N,AG03
CON0201,C081,2024-03-18,전화,해지문의,20,재문의,N,AG19
CON0202,C081,2024-08-10,채팅,장애신고,7,완료,N,AG11
CON0203,C082,2024-10-18,전화,요금문의,37,완료,N,AG16
CON0204,C082,2024-03-17,이메일,해지문의,,완료,N,AG02
CON0205,C082,2024-02-06,전화,장애신고,12,완료,N,AG02
CON0206,C082,2024-06-05,채팅,부가서비스,16,완료,Y,AG08
CON0207,C083,2024-01-21,전화,해지문의,26,완료,N,AG01
CON0208,C083,2024-01-12,전화,해지문의,11,재문의,N,AG01
CON0209,C084,2024-08-04,전화,장애신고,17,재문의,N,AG11
CON0210,C084,2024-04-17,전화,요금문의,24,완료,N,AG16
CON0211,C085,2024-09-22,이메일,요금문의,,완료,Y,AG19
CON0212,C085,2024-12-25,전화,해지문의,19,재문의,N,AG08
CON0213,C086,2024-09-13,전화,부가서비스,18,완료,N,AG20
CON0214,C086,2024-08-10,이메일,요금문의,,미해결,N,AG15
CON0215,C086,2024-08-26,이메일,요금문의,,미해결,N,AG04
CON0216,C087,2024-06-22,채팅,기타,7,완료,N,AG14
CON0217,C087,2024-04-22,전화,장애신고,29,완료,N,AG18
CON0218,C087,2024-11-19,이메일,해지문의,,완료,N,AG19
CON0219,C088,2024-09-10,채팅,부가서비스,12,미해결,N,AG09
CON0220,C088,2024-06-05,채팅,부가서비스,10,완료,N,AG12
CON0221,C089,2024-06-29,채팅,명의변경,6,재문의,N,AG16
CON0222,C089,2024-11-18,채팅,해지문의,4,재문의,N,AG03
CON0223,C089,2024-11-16,앱,요금문의,6,완료,Y,AG07
CON0224,C090,2024-06-16,전화,기타,16,완료,Y,AG14
CON0225,C090,2024-09-29,채팅,기타,6,완료,N,AG18
CON0226,C090,2024-08-28,전화,장애신고,27,완료,N,AG17
CON0227,C091,2024-03-09,이메일,해지문의,,완료,Y,AG18
CON0228,C091,2024-10-15,이메일,해지문의,,재문의,N,AG12
CON0229,C093,2024-06-30,채팅,해지문의,3,미해결,N,AG06
CON0230,C093,2024-11-27,이메일,장애신고,,미해결,N,AG11
CON0231,C094,2024-05-03,전화,요금문의,15,완료,N,AG18
CON0232,C094,2024-09-15,전화,요금문의,10,완료,N,AG05
CON0233,C094,2024-01-28,채팅,장애신고,9,미해결,N,AG20
CON0234,C094,2024-10-23,전화,장애신고,12,완료,N,AG12
CON0235,C095,2024-05-07,채팅,요금문의,12,재문의,Y,AG13
CON0236,C095,2024-03-14,전화,해지문의,14,완료,N,AG17
CON0237,C095,2024-03-21,채팅,부가서비스,10,완료,N,AG04
CON0238,C096,2024-01-27,채팅,요금문의,8,완료,N,AG09
CON0239,C096,2024-02-02,이메일,기타,,완료,N,AG07
CON0240,C096,2024-08-10,채팅,명의변경,8,완료,Y,AG18
CON0241,C096,2024-10-14,전화,해지문의,20,재문의,N,AG18
CON0242,C097,2024-08-12,전화,요금문의,26,완료,N,AG01
CON0243,C097,2024-08-03,이메일,해지문의,,미해결,N,AG05
CON0244,C097,2024-08-31,이메일,부가서비스,,미해결,Y,AG08
CON0245,C097,2024-09-02,전화,해지문의,21,완료,N,AG15
CON0246,C097,2024-08-05,채팅,해지문의,7,완료,N,AG15
CON0247,C097,2024-07-30,전화,해지문의,8,완료,N,AG02
CON0248,C098,2024-04-16,전화,명의변경,20,완료,N,AG06
CON0249,C098,2024-10-19,전화,해지문의,9,재문의,N,AG02
CON0250,C098,2024-08-13,전화,해지문의,22,완료,N,AG18
CON0251,C098,2024-11-08,전화,해지문의,10,완료,N,AG04
CON0252,C099,2024-06-08,채팅,해지문의,10,완료,N,AG08
CON0253,C099,2024-08-16,채팅,요금문의,9,미해결,N,AG12
CON0254,C099,2024-09-24,전화,기타,11,완료,N,AG11
CON0255,C100,2024-10-16,전화,해지문의,15,완료,N,AG19
CON0256,C100,2024-02-01,전화,부가서비스,12,재문의,N,AG03
CON0257,C100,2024-05-09,채팅,요금문의,11,완료,N,AG20
CON0258,C101,2024-01-21,채팅,부가서비스,11,완료,N,AG10
CON0259,C101,2024-10-31,전화,장애신고,15,완료,N,AG08
CON0260,C101,2024-05-21,채팅,요금문의,5,재문의,N,AG02
CON0261,C101,2024-07-13,이메일,요금문의,,완료,N,AG07
CON0262,C102,2024-11-05,전화,장애신고,14,완료,N,AG01
CON0263,C102,2024-06-09,이메일,해지문의,,재문의,N,AG16
CON0264,C102,2024-07-03,전화,명의변경,17,완료,N,AG03
CON0265,C102,2024-11-01,전화,요금문의,26,완료,N,AG18
CON0266,C103,2024-04-21,채팅,요금문의,9,완료,N,AG10
CON0267,C103,2024-09-22,전화,부가서비스,8,재문의,N,AG17
CON0268,C103,2024-02-05,채팅,명의변경,6,완료,N,AG13
CON0269,C104,2024-01-12,채팅,해지문의,7,완료,N,AG10
CON0270,C104,2024-11-20,이메일,요금문의,,미해결,Y,AG09
CON0271,C104,2024-12-13,전화,요금문의,12,완료,N,AG16
CON0272,C104,2024-01-15,이메일,해지문의,,완료,Y,AG15
CON0273,C105,2024-11-09,전화,명의변경,20,완료,N,AG06
CON0274,C105,2024-08-05,전화,요금문의,15,완료,N,AG11
CON0275,C105,2024-01-11,채팅,요금문의,5,완료,N,AG15
CON0276,C105,2024-09-08,채팅,부가서비스,8,완료,N,AG03
CON0277,C106,2024-02-11,전화,장애신고,20,완료,N,AG10
CON0278,C106,2024-06-20,채팅,명의변경,14,재문의,N,AG07
CON0279,C106,2024-03-17,전화,명의변경,21,미해결,N,AG04
CON0280,C107,2024-11-30,전화,장애신고,14,완료,N,AG14
CON0281,C107,2024-07-31,채팅,요금문의,5,완료,Y,AG17
CON0282,C108,2024-03-28,전화,요금문의,13,완료,N,AG16
CON0283,C108,2024-04-08,이메일,장애신고,,완료,Y,AG01
CON0284,C108,2024-05-03,전화,장애신고,13,완료,N,AG06
CON0285,C109,2024-07-24,이메일,장애신고,,완료,N,AG14
CON0286,C109,2024-07-26,채팅,해지문의,6,재문의,N,AG20
CON0287,C110,2024-12-17,채팅,부가서비스,8,완료,Y,AG13
CON0288,C110,2024-05-16,전화,기타,15,완료,N,AG07
CON0289,C110,2024-09-11,채팅,기타,6,미해결,Y,AG16
CON0290,C111,2024-11-17,전화,해지문의,23,완료,N,AG17
CON0291,C111,2024-12-10,채팅,장애신고,4,완료,N,AG12
CON0292,C111,2024-12-08,채팅,해지문의,14,완료,N,AG19
CON0293,C111,2024-11-17,채팅,해지문의,10,완료,N,AG04
CON0294,C112,2024-05-18,전화,해지문의,6,재문의,Y,AG15
CON0295,C112,2024-01-24,앱,장애신고,7,재문의,N,AG09
CON0296,C112,2024-09-04,이메일,기타,,재문의,Y,AG10
CON0297,C113,2024-10-13,전화,부가서비스,17,완료,N,AG17
CON0298,C113,2024-04-01,전화,장애신고,22,완료,N,AG19
CON0299,C114,2024-11-29,전화,요금문의,20,완료,N,AG08
CON0300,C114,2024-03-11,이메일,해지문의,,완료,N,AG17
CON0301,C114,2024-02-22,전화,명의변경,20,완료,N,AG03
CON0302,C114,2024-01-05,앱,요금문의,7,완료,Y,AG01
CON0303,C115,2024-02-15,채팅,장애신고,8,미해결,N,AG04
CON0304,C116,2024-07-22,전화,부가서비스,22,완료,N,AG03
CON0305,C117,2024-05-01,이메일,장애신고,,재문의,N,AG10
CON0306,C117,2024-08-14,전화,요금문의,23,미해결,Y,AG10
CON0307,C118,2024-06-11,전화,해지문의,12,완료,N,AG16
CON0308,C118,2024-04-01,채팅,해지문의,5,완료,N,AG03
CON0309,C118,2024-09-02,이메일,장애신고,,미해결,Y,AG03
CON0310,C119,2024-01-29,채팅,부가서비스,8,재문의,N,AG09
CON0311,C120,2024-09-09,이메일,장애신고,,미해결,Y,AG04
CON0312,C120,2024-08-06,채팅,요금문의,10,재문의,N,AG12
CON0313,C120,2024-10-04,채팅,해지문의,5,완료,N,AG15
CON0314,C120,2024-08-11,채팅,해지문의,9,완료,N,AG12
CON0315,C121,2024-09-19,채팅,요금문의,9,재문의,N,AG19
CON0316,C122,2024-10-04,채팅,요금문의,8,미해결,N,AG15
CON0317,C122,2024-09-01,전화,장애신고,19,완료,N,AG09
CON0318,C123,2024-04-08,앱,해지문의,7,재문의,N,AG09
CON0319,C123,2024-09-02,앱,해지문의,8,완료,N,AG08
CON0320,C123,2024-02-27,채팅,요금문의,6,재문의,N,AG15
CON0321,C124,2024-07-07,전화,부가서비스,12,완료,N,AG04
CON0322,C124,2024-11-13,전화,요금문의,15,미해결,N,AG09
CON0323,C124,2024-06-13,전화,부가서비스,27,재문의,N,AG10
CON0324,C124,2024-04-05,전화,기타,27,완료,N,AG04
CON0325,C125,2024-12-02,전화,해지문의,21,완료,N,AG06
CON0326,C125,2024-04-11,이메일,요금문의,,완료,Y,AG16
CON0327,C125,2024-06-26,채팅,장애신고,6,완료,N,AG10
CON0328,C125,2024-08-17,채팅,요금문의,7,완료,N,AG12
CON0329,C126,2024-12-23,채팅,장애신고,6,완료,Y,AG18
CON0330,C126,2024-11-13,이메일,요금문의,,완료,N,AG03
CON0331,C126,2024-07-17,채팅,해지문의,9,완료,N,AG17
CON0332,C127,2024-08-04,채팅,장애신고,9,완료,N,AG13
CON0333,C127,2024-09-12,전화,해지문의,24,완료,N,AG08
CON0334,C127,2024-08-14,전화,요금문의,16,완료,N,AG15
CON0335,C127,2024-09-03,이메일,장애신고,,완료,N,AG02
CON0336,C127,2024-08-02,채팅,장애신고,7,재문의,N,AG20
CON0337,C128,2024-05-14,채팅,부가서비스,8,완료,N,AG13
CON0338,C128,2024-06-30,채팅,요금문의,10,완료,N,AG06
CON0339,C128,2024-06-02,이메일,해지문의,,재문의,Y,AG02
CON0340,C128,2024-06-19,채팅,장애신고,5,미해결,N,AG03
CON0341,C128,2024-06-19,이메일,요금문의,,완료,N,AG11
CON0342,C129,2024-05-31,전화,장애신고,15,완료,N,AG01
CON0343,C129,2024-06-15,이메일,기타,,완료,N,AG06
CON0344,C129,2024-05-14,전화,해지문의,14,완료,N,AG07
CON0345,C129,2024-06-24,채팅,해지문의,7,완료,N,AG03
CON0346,C129,2024-05-12,채팅,부가서비스,9,완료,N,AG15
CON0347,C130,2024-06-01,이메일,해지문의,,완료,Y,AG10
CON0348,C130,2024-06-16,전화,장애신고,15,완료,N,AG11
CON0349,C130,2024-05-03,이메일,요금문의,,재문의,N,AG07
CON0350,C131,2024-08-01,전화,요금문의,16,완료,N,AG09
CON0351,C131,2024-08-20,채팅,장애신고,9,미해결,N,AG07
CON0352,C131,2024-08-31,앱,해지문의,9,완료,N,AG13
CON0353,C131,2024-08-09,앱,요금문의,6,재문의,Y,AG15
CON0354,C131,2024-08-27,전화,해지문의,7,완료,N,AG10
CON0355,C131,2024-08-14,이메일,부가서비스,,완료,Y,AG04
CON0356,C131,2024-07-21,전화,해지문의,14,재문의,N,AG10
CON0357,C132,2024-10-21,채팅,해지문의,7,완료,N,AG07
CON0358,C133,2024-06-02,전화,장애신고,12,완료,N,AG08
CON0359,C133,2024-08-27,채팅,장애신고,11,완료,N,AG18
CON0360,C133,2024-10-09,채팅,요금문의,10,완료,Y,AG18
CON0361,C133,2024-10-31,전화,요금문의,17,완료,N,AG13
CON0362,C134,2024-10-26,채팅,장애신고,6,완료,N,AG13
CON0363,C134,2024-10-21,채팅,요금문의,11,완료,N,AG09
CON0364,C134,2024-12-05,채팅,명의변경,7,미해결,N,AG02
CON0365,C134,2024-12-09,이메일,부가서비스,,완료,N,AG19
CON0366,C135,2024-12-21,채팅,요금문의,4,완료,N,AG12
CON0367,C135,2024-05-17,채팅,장애신고,6,재문의,Y,AG16
CON0368,C136,2024-01-12,전화,기타,20,완료,N,AG18
CON0369,C136,2024-01-21,이메일,요금문의,,재문의,N,AG02
CON0370,C136,2024-08-26,전화,장애신고,11,완료,N,AG08
CON0371,C137,2024-06-09,채팅,명의변경,8,완료,N,AG02
CON0372,C137,2024-01-14,채팅,부가서비스,12,미해결,Y,AG12
CON0373,C137,2024-09-04,채팅,요금문의,5,완료,N,AG11
CON0374,C137,2024-11-13,채팅,해지문의,2,미해결,N,AG11
CON0375,C138,2024-06-23,앱,요금문의,5,완료,N,AG12
CON0376,C138,2024-06-06,전화,장애신고,24,재문의,N,AG06
CON0377,C138,2024-08-31,전화,요금문의,16,완료,N,AG11
CON0378,C139,2024-04-20,전화,장애신고,20,완료,N,AG06
CON0379,C139,2024-02-06,앱,해지문의,7,완료,Y,AG10
CON0380,C139,2024-03-19,채팅,장애신고,10,완료,N,AG13
CON0381,C140,2024-11-18,채팅,장애신고,10,완료,N,AG11
CON0382,C140,2024-05-26,채팅,요금문의,9,완료,N,AG05
CON0383,C140,2024-05-03,채팅,해지문의,10,완료,N,AG02
CON0384,C140,2024-04-14,채팅,요금문의,8,재문의,Y,AG11
CON0385,C141,2024-07-21,이메일,요금문의,,미해결,Y,AG01
CON0386,C142,2024-07-11,채팅,요금문의,11,완료,Y,AG12
CON0387,C142,2024-09-22,이메일,부가서비스,,완료,N,AG18
CON0388,C143,2024-10-10,채팅,해지문의,8,미해결,N,AG13
CON0389,C143,2024-11-27,전화,장애신고,7,완료,Y,AG17
CON0390,C144,2024-04-08,전화,요금문의,19,재문의,N,AG02
CON0391,C145,2024-05-03,전화,해지문의,25,완료,N,AG02
CON0392,C145,2024-08-15,이메일,장애신고,,미해결,Y,AG16
CON0393,C146,2024-02-18,전화,장애신고,26,완료,N,AG09
CON0394,C146,2024-06-24,전화,장애신고,19,완료,N,AG15
CON0395,C146,2024-05-01,이메일,명의변경,,완료,Y,AG02
CON0396,C147,2024-12-17,이메일,장애신고,,재문의,N,AG05
CON0397,C147,2024-12-19,채팅,해지문의,9,완료,Y,AG17
CON0398,C148,2024-08-23,채팅,기타,5,완료,Y,AG17
CON0399,C148,2024-10-14,채팅,요금문의,7,완료,N,AG07
CON0400,C148,2024-02-06,전화,요금문의,17,재문의,N,AG04
