month,channel,spend,impressions,clicks,signups
2022-12,오프라인매장,143200,,,4
2022-12,자사앱푸시,16000,2639,124,2
2022-12,제휴사,23900,,,1
2022-12,지인추천,8900,,,3
2023-01,SNS광고,148900,5410,170,1
2023-01,검색광고,29400,4798,56,0
2023-01,오프라인매장,78900,,,2
2023-01,자사앱푸시,7700,1003,53,1
2023-01,제휴사,54500,,,2
2023-01,지인추천,2600,,,1
2023-02,SNS광고,199500,4593,119,1
2023-02,검색광고,70300,2399,34,1
2023-02,오프라인매장,58400,,,1
2023-02,자사앱푸시,3100,3075,134,0
2023-02,제휴사,46400,,,2
2023-02,지인추천,1800,,,2
2023-03,SNS광고,171600,6408,168,1
2023-03,검색광고,30900,7549,111,0
2023-03,오프라인매장,26000,,,0
2023-03,자사앱푸시,17900,5617,279,4
2023-03,제휴사,23300,,,1
2023-03,지인추천,6800,,,2
2023-04,SNS광고,150100,5383,155,1
2023-04,검색광고,183200,11267,139,4
2023-04,오프라인매장,53000,,,1
2023-04,자사앱푸시,10800,1289,65,1
2023-04,제휴사,27700,,,1
2023-04,지인추천,0,,,0
2023-05,SNS광고,318300,6918,201,2
2023-05,검색광고,83900,3168,33,1
2023-05,오프라인매장,43300,,,1
2023-05,자사앱푸시,8700,1481,81,2
2023-05,제휴사,74900,,,3
2023-05,지인추천,0,,,0
2023-06,SNS광고,351200,11613,315,3
2023-06,검색광고,39000,8133,123,0
2023-06,오프라인매장,23000,,,0
2023-06,자사앱푸시,7100,2589,129,0
2023-06,제휴사,29200,,,1
2023-06,지인추천,2000,,,1
2023-07,SNS광고,144400,5234,117,1
2023-07,검색광고,216200,8283,110,4
2023-07,오프라인매장,28000,,,0
2023-07,자사앱푸시,10200,901,48,1
2023-07,제휴사,22600,,,1
2023-07,지인추천,4700,,,3
2023-08,SNS광고,582500,19799,544,5
2023-08,검색광고,37100,5888,78,0
2023-08,오프라인매장,65200,,,2
2023-08,자사앱푸시,13200,3022,121,3
2023-08,제휴사,49900,,,2
2023-08,지인추천,1500,,,1
2023-09,SNS광고,152600,4889,132,1
2023-09,검색광고,33800,9390,109,0
2023-09,오프라인매장,57500,,,1
2023-09,자사앱푸시,5300,1688,84,0
2023-09,제휴사,0,,,0
2023-09,지인추천,1100,,,1
2023-10,SNS광고,186800,7043,221,1
2023-10,검색광고,78200,1709,25,1
2023-10,오프라인매장,19000,,,0
2023-10,자사앱푸시,4400,2839,150,0
2023-10,제휴사,107800,,,4
2023-10,지인추천,9500,,,2
2023-11,SNS광고,40100,18004,442,0
2023-11,검색광고,156700,10413,155,4
2023-11,오프라인매장,73700,,,2
2023-11,자사앱푸시,8900,996,39,1
2023-11,제휴사,27900,,,1
2023-11,지인추천,0,,,0
2023-12,SNS광고,156800,4147,125,1
2023-12,검색광고,112600,4709,57,2
2023-12,오프라인매장,14000,,,0
2023-12,자사앱푸시,9900,1671,68,1
2023-12,제휴사,79100,,,3
2023-12,지인추천,7500,,,2
2024-01,SNS광고,40700,32728,1000,0
2024-01,검색광고,33900,8958,131,0
2024-01,오프라인매장,30000,,,0
2024-01,자사앱푸시,5800,2234,109,0
2024-01,제휴사,0,,,0
2024-01,지인추천,7700,,,2
2024-02,SNS광고,59100,21341,586,0
2024-02,검색광고,51900,2338,26,1
2024-02,오프라인매장,25000,,,0
2024-02,자사앱푸시,9300,1117,61,1
2024-02,제휴사,21000,,,1
2024-02,지인추천,4800,,,1
2024-03,SNS광고,146500,4225,101,1
2024-03,검색광고,186900,6392,101,4
2024-03,오프라인매장,55400,,,1
2024-03,자사앱푸시,5000,1831,55,1
2024-03,제휴사,0,,,0
2024-03,지인추천,0,,,0
2024-04,SNS광고,151600,3893,118,1
2024-04,검색광고,30900,9914,131,0
2024-04,오프라인매장,69900,,,2
2024-04,자사앱푸시,6700,2981,101,0
2024-04,제휴사,77100,,,3
2024-04,지인추천,10200,,,3
2024-05,SNS광고,160400,6751,215,1
2024-05,검색광고,72100,2372,25,1
2024-05,오프라인매장,37000,,,1
2024-05,자사앱푸시,5600,2399,106,0
2024-05,제휴사,70900,,,3
2024-05,지인추천,3100,,,3
2024-06,SNS광고,339600,9414,273,2
2024-06,검색광고,121100,3999,49,2
2024-06,오프라인매장,59200,,,1
2024-06,자사앱푸시,3300,2639,119,0
2024-06,제휴사,53000,,,2
2024-06,지인추천,3400,,,2
