usage_id,customer_id,year_month,data_gb,call_min,billing_amount,service_count,app_login_count
U00060,C005,2024-12,50.2,310,89178,4,25
U00061,C006,2024-01,13.76,154,49740,1,10
U00062,C006,2024-02,13.11,92,55119,1,12
U00063,C006,2024-03,16.92,261,41387,1,7
U00064,C006,2024-04,12.52,254,47387,4,11
U00065,C006,2024-05,20.7,161,50219,2,9
U00066,C006,2024-06,17.55,197,50495,3,14
U00067,C006,2024-07,22.19,321,51928,2,10
U00068,C006,2024-08,22.11,210,47377,2,11
U00069,C006,2024-09,10.79,192,54104,3,14
U00070,C006,2024-10,20.07,240,52487,2,12
U00071,C006,2024-11,23.93,297,47715,2,12
U00072,C006,2024-12,15.19,215,53546,1,8
U00073,C007,2024-01,64.7,211,85933,6,25
U00074,C007,2024-02,70.16,468,80907,4,19
U00075,C007,2024-03,44.42,259,67953,7,17
U00076,C007,2024-04,40.98,431,82476,6,12
U00077,C007,2024-05,79.82,195,89574,4,10
U00078,C007,2024-06,72.84,443,85925,3,10
U00079,C007,2024-07,46.84,312,83658,5,13
U00080,C007,2024-08,81.92,294,76695,2,24
U00081,C007,2024-09,71.68,343,83275,6,15
U00082,C007,2024-10,74.04,335,96727,2,20
U00083,C007,2024-11,86.64,255,75965,2,27
U00084,C007,2024-12,64.19,344,83697,4,13
U00085,C008,2024-01,21.09,243,52613,2,19
U00086,C008,2024-02,21.11,192,44321,3,8
U00087,C008,2024-03,20.74,146,54694,2,20
U00088,C008,2024-04,14.78,170,45177,3,13
U00089,C008,2024-05,22.47,192,48020,3,9
U00090,C008,2024-06,14.53,244,44178,2,9
U00091,C008,2024-07,17.41,101,47678,2,11
U00092,C008,2024-08,14.74,141,48177,2,5
U00093,C008,2024-09,19.86,256,48279,2,11
U00094,C008,2024-10,22.03,294,52421,0,13
U00095,C008,2024-11,7.66,221,47450,3,13
U00096,C008,2024-12,19.89,123,45532,3,6
U00097,C009,2024-01,17.17,241,49751,3,14
U00098,C009,2024-02,20.99,141,49819,0,8
U00099,C009,2024-03,20.47,203,46501,2,9
U00100,C009,2024-04,22.48,268,45435,2,9
U00101,C009,2024-05,14.59,92,48205,2,4
U00102,C009,2024-06,15.75,79,46993,3,8
U00103,C009,2024-07,14.99,203,51124,2,15
U00104,C009,2024-08,16.58,163,51961,1,19
U00105,C009,2024-09,16.85,166,53269,3,13
U00106,C009,2024-10,20.07,243,55643,2,12
U00107,C009,2024-11,25.8,237,46765,3,6
U00108,C009,2024-12,11.87,308,45792,2,13
U00109,C010,2024-01,59.34,427,85137,4,19
U00110,C010,2024-02,58.12,269,81928,7,17
U00111,C010,2024-03,59.64,314,96159,0,12
U00112,C010,2024-04,70.37,267,88795,5,12
U00113,C010,2024-05,96.29,304,87990,5,9
U00114,C010,2024-06,38.08,276,88503,5,21
U00115,C010,2024-07,48.68,271,77134,4,17
U00116,C010,2024-08,61.63,358,84004,1,8
U00117,C010,2024-09,47.23,291,87185,3,7
U00118,C010,2024-10,39.69,452,76337,4,9
U00119,C010,2024-11,45.38,366,73139,1,8
U00120,C010,2024-12,75.57,328,91209,2,23
U00121,C011,2024-01,6.85,165,22363,0,9
U00122,C011,2024-02,7.41,116,24714,2,8
U00123,C011,2024-03,6.44,313,27734,1,6
U00124,C011,2024-04,6.6,146,32550,0,9
U00125,C011,2024-05,6.24,155,27563,1,9
U00126,C011,2024-06,5.36,75,27182,1,10
U00127,C011,2024-07,7.96,24,27315,1,1
U00128,C011,2024-08,2.53,10,27945,1,0
U00129,C011,2024-09,0.1,0,24583,0,1
U00130,C011,2024-10,0.51,51,30856,1,2
U00131,C011,2024-11,0.1,0,31153,0,3
U00132,C011,2024-12,1.52,2,23886,1,3
U00133,C012,2024-01,16.05,174,56020,2,9
U00134,C012,2024-02,17.52,222,52597,3,11
U00135,C012,2024-03,15.28,217,54511,1,4
U00136,C012,2024-04,15.7,127,49022,1,14
U00137,C012,2024-05,21.35,226,46673,2,10
U00138,C012,2024-06,17.95,177,53454,2,15
U00139,C012,2024-07,17.24,91,52303,2,13
U00140,C012,2024-08,13.86,165,56227,2,10
U00141,C012,2024-09,8.1,242,48244,3,3
U00142,C012,2024-10,15.19,166,46923,3,13
U00143,C012,2024-11,15.64,92,45568,3,12
U00144,C012,2024-12,13.87,233,46180,3,16
U00145,C013,2024-01,18.05,139,53691,2,13
U00146,C013,2024-02,11.89,168,49205,2,16
U00147,C013,2024-03,11.08,288,47359,4,9
U00148,C013,2024-04,13.09,53,49654,3,19
U00149,C013,2024-05,22.78,218,50481,2,20
U00150,C013,2024-06,21.38,170,50355,1,19
U00151,C013,2024-07,20.46,313,56013,2,10
U00152,C013,2024-08,25.88,143,50022,2,9
U00153,C013,2024-09,20.55,120,47622,1,12
U00154,C013,2024-10,14.72,146,48495,3,8
U00155,C013,2024-11,19.35,200,55589,3,10
U00156,C013,2024-12,17.89,260,51200,1,9
U00157,C014,2024-01,4.76,18,29107,0,9
U00158,C014,2024-02,7.06,95,36095,2,4
U00159,C014,2024-03,8.06,130,34290,2,8
U00160,C014,2024-04,3.42,79,33091,0,6
U00161,C014,2024-05,5.68,248,35232,0,11
U00162,C014,2024-06,8.95,223,28195,1,7
U00163,C014,2024-07,9.83,195,32858,3,12
U00164,C014,2024-08,5.8,125,32769,0,6
U00165,C014,2024-09,5.37,147,28335,0,14
U00166,C014,2024-10,3.91,137,30618,2,7
U00167,C014,2024-11,5.47,186,39715,3,7
U00168,C014,2024-12,5.39,65,36363,1,7
U00169,C015,2024-01,60.21,332,90175,3,10
U00170,C015,2024-02,58.8,302,89872,6,13
U00171,C015,2024-03,47.13,353,92758,3,11
U00172,C015,2024-04,59.57,262,84894,4,14
U00173,C015,2024-05,56.11,320,77587,0,16
U00174,C015,2024-06,49.46,196,89947,4,4
U00175,C015,2024-07,35.63,103,89029,3,11
U00176,C015,2024-08,68.97,362,74290,5,12
U00177,C015,2024-09,52.99,328,79164,2,18
U00178,C015,2024-10,48.51,288,85654,6,18
U00179,C015,2024-11,30.98,275,93746,6,17
U00180,C015,2024-12,80.45,322,94145,5,5
U00181,C016,2024-01,59.56,173,77353,5,10
U00182,C016,2024-02,70.83,287,79968,3,18
U00183,C016,2024-03,48.66,210,93788,5,17
U00184,C016,2024-04,61.26,267,77682,6,11
U00185,C016,2024-05,62.23,218,76988,5,20
U00186,C016,2024-06,80.99,312,80317,4,26
U00187,C016,2024-07,42.89,207,78261,3,31
U00188,C016,2024-08,82.39,359,85129,4,13
U00189,C016,2024-09,47.82,186,86541,1,21
U00190,C016,2024-10,74.48,314,78946,4,11
U00191,C016,2024-11,44.34,307,75190,7,17
U00192,C016,2024-12,59.64,94,81758,5,18
U00193,C017,2024-01,25.07,350,92669,6,11
U00194,C017,2024-02,75.25,336,74169,4,17
U00195,C017,2024-03,32.39,277,87303,6,15
U00196,C017,2024-04,50.82,206,75789,1,9
U00197,C017,2024-05,50.96,319,81067,4,9
U00198,C017,2024-06,69.93,251,84041,8,15
U00199,C017,2024-07,40.69,214,83688,2,10
U00200,C017,2024-08,59.1,248,87903,6,12
U00201,C017,2024-09,47.44,307,85631,4,12
U00202,C017,2024-10,64.1,210,86726,4,18
U00203,C017,2024-11,83.98,292,78809,2,8
U00204,C017,2024-12,36.85,296,79325,6,14
U00205,C018,2024-01,13.15,208,51370,0,4
U00206,C018,2024-02,20.01,305,52707,1,13
U00207,C018,2024-03,20.81,254,55877,2,5
U00208,C018,2024-04,25.15,224,51706,4,8
U00209,C018,2024-05,10.91,267,55853,3,6
U00210,C018,2024-06,12.25,227,53328,0,9
U00211,C018,2024-07,3.28,248,49417,3,15
U00212,C018,2024-08,11.5,134,49191,3,15
U00213,C018,2024-09,19.76,293,44986,1,9
U00214,C018,2024-10,7.34,103,47759,1,6
U00215,C018,2024-11,20.5,212,48023,1,11
U00216,C018,2024-12,7.78,266,52432,3,17
U00217,C019,2024-01,16.38,170,52869,0,5
U00218,C019,2024-02,18.98,240,56370,3,11
U00219,C019,2024-03,20.13,266,46508,2,7
U00220,C019,2024-04,19.73,106,48691,0,13
U00221,C019,2024-05,12.65,168,50847,4,13
U00222,C019,2024-06,11.25,180,51672,3,8
U00223,C019,2024-07,17.01,183,42855,3,7
U00224,C019,2024-08,18.54,251,47294,2,12
U00225,C019,2024-09,13.99,201,47355,3,3
U00226,C019,2024-10,13.83,220,47746,1,10
U00227,C019,2024-11,17.21,175,51699,1,14
U00228,C019,2024-12,19.2,278,42597,1,22
U00229,C020,2024-01,12.33,313,45412,2,12
U00230,C020,2024-02,11.55,173,47170,3,11
U00231,C020,2024-03,5.95,170,45357,3,16
U00232,C020,2024-04,11.49,214,42031,2,19
U00233,C020,2024-05,12.66,49,49657,0,12
U00234,C020,2024-06,13.65,243,49366,2,11
U00235,C020,2024-07,15.02,266,47747,2,8
U00236,C020,2024-08,11.28,100,47348,2,11
U00237,C020,2024-09,18.23,274,47674,3,13
U00238,C020,2024-10,16.73,238,45110,1,8
U00239,C020,2024-11,9.71,129,54454,2,11
U00240,C020,2024-12,17.5,167,49911,5,11
U00241,C021,2024-01,12.38,173,49915,1,6
U00242,C021,2024-02,17.25,160,51067,3,9
U00243,C021,2024-03,20.75,222,48235,2,11
U00244,C021,2024-04,9.0,202,53735,2,11
U00245,C021,2024-05,19.26,189,51584,1,10
U00246,C021,2024-06,5.41,254,55250,2,14
U00247,C021,2024-07,10.81,253,54486,3,7
U00248,C021,2024-08,14.77,38,44470,2,9
U00249,C021,2024-09,12.75,220,54815,1,7
U00250,C021,2024-10,17.16,160,48457,1,18
U00251,C021,2024-11,17.25,95,47534,2,9
U00252,C021,2024-12,14.99,191,48485,2,6
U00253,C022,2024-01,44.15,204,87124,3,20
U00254,C022,2024-02,77.25,409,82195,4,15
U00255,C022,2024-03,66.41,247,95701,2,10
U00256,C022,2024-04,71.59,406,84586,3,22
U00257,C022,2024-05,51.63,320,81757,5,26
U00258,C022,2024-06,5.23,208,81236,4,17
U00259,C022,2024-07,77.32,338,80604,4,10
U00260,C022,2024-08,43.41,347,92492,6,16
U00261,C022,2024-09,60.94,433,77453,3,18
U00262,C022,2024-10,38.44,214,85780,2,17
U00263,C022,2024-11,66.63,270,96472,3,20
U00264,C022,2024-12,46.67,199,96411,0,12
U00265,C023,2024-01,3.72,162,32213,2,8
U00266,C023,2024-02,3.44,132,37074,1,10
U00267,C023,2024-03,5.29,153,29448,1,3
U00268,C023,2024-04,4.24,56,25791,2,4
U00269,C023,2024-05,3.67,117,31479,1,2
U00270,C023,2024-06,6.08,190,31344,1,1
U00271,C023,2024-07,5.01,145,31088,1,6
U00272,C023,2024-08,3.77,118,23471,0,6
U00273,C023,2024-09,0.27,112,27505,1,0
U00274,C023,2024-10,2.77,38,25017,2,0
U00275,C023,2024-11,0.1,0,26514,0,6
U00276,C023,2024-12,0.86,0,32581,0,5
U00277,C024,2024-01,5.94,156,30911,0,6
U00278,C024,2024-02,4.54,139,35857,3,7
U00279,C024,2024-03,8.7,127,29551,2,5
U00280,C024,2024-04,9.2,166,29477,2,2
U00281,C024,2024-05,3.42,163,24125,3,9
U00282,C024,2024-06,3.3,206,31364,1,8
U00283,C024,2024-07,3.47,138,29335,1,13
U00284,C024,2024-08,8.26,192,31982,3,3
U00285,C024,2024-09,5.35,224,32942,0,11
U00286,C024,2024-10,4.21,154,28482,2,11
U00287,C024,2024-11,3.14,109,30870,1,5
U00288,C024,2024-12,5.34,112,30985,1,0
U00289,C025,2024-01,2.8,148,32808,1,8
U00290,C025,2024-02,3.46,182,24710,1,10
U00291,C025,2024-03,9.39,214,35373,1,4
U00292,C025,2024-04,7.38,216,27141,1,0
U00293,C025,2024-05,4.99,47,25625,1,11
U00294,C025,2024-06,4.75,107,30955,0,4
U00295,C025,2024-07,5.52,224,25947,1,8
U00296,C025,2024-08,4.08,191,33813,0,5
U00297,C025,2024-09,7.33,172,27297,0,6
U00298,C025,2024-10,7.79,102,25726,1,8
U00299,C025,2024-11,4.17,151,28329,4,2
U00300,C025,2024-12,7.97,198,32119,2,6
U00301,C026,2024-01,10.18,198,49156,3,18
U00302,C026,2024-02,15.18,165,56286,4,13
U00303,C026,2024-03,18.51,266,49822,2,11
U00304,C026,2024-04,22.99,25,51385,0,10
U00305,C026,2024-05,17.22,150,52686,3,2
U00306,C026,2024-06,21.98,189,55038,3,6
U00307,C026,2024-07,13.48,95,48805,2,12
U00308,C026,2024-08,13.0,178,45512,2,10
U00309,C026,2024-09,12.44,183,47799,2,10
U00310,C026,2024-10,18.14,266,53097,1,7
U00311,C026,2024-11,18.42,112,47421,1,9
U00312,C026,2024-12,18.01,198,58469,2,12
U00313,C027,2024-01,49.01,303,83715,6,18
U00314,C027,2024-02,51.76,243,89286,4,14
U00315,C027,2024-03,36.57,267,88165,3,22
U00316,C027,2024-04,65.76,258,79763,5,16
U00317,C027,2024-05,82.89,194,86879,5,12
U00318,C027,2024-06,63.43,299,95788,4,15
U00319,C027,2024-07,77.2,335,73337,3,15
U00320,C027,2024-08,77.85,268,80915,4,7
U00321,C027,2024-09,36.73,339,92866,2,15
U00322,C027,2024-10,48.57,238,96308,4,15
U00323,C027,2024-11,58.16,272,90840,4,18
U00324,C027,2024-12,48.52,263,86888,6,19
U00325,C028,2024-01,17.8,283,46469,1,8
U00326,C028,2024-02,15.98,215,47364,2,13
U00327,C028,2024-03,21.01,328,54540,2,12
U00328,C028,2024-04,21.38,242,52804,2,12
U00329,C028,2024-05,18.81,284,47162,2,11
U00330,C028,2024-06,23.15,286,44936,1,11
U00331,C028,2024-07,12.92,272,43831,2,11
U00332,C028,2024-08,19.32,229,53443,3,10
U00333,C028,2024-09,26.27,306,53346,2,7
U00334,C028,2024-10,24.96,235,46743,4,8
U00335,C028,2024-11,10.91,302,45704,1,8
U00336,C028,2024-12,21.22,211,50724,2,16
U00337,C029,2024-01,61.43,248,92225,7,20
U00338,C029,2024-02,48.63,351,84153,7,17
U00339,C029,2024-03,61.81,323,77164,5,11
U00340,C029,2024-04,56.54,202,82259,3,19
U00341,C029,2024-05,45.47,328,95895,4,24
U00342,C029,2024-06,50.59,355,85752,2,18
U00343,C029,2024-07,35.99,248,85923,5,4
U00344,C029,2024-08,50.72,217,86974,3,11
U00345,C029,2024-09,37.97,237,88007,3,12
U00346,C029,2024-10,43.95,370,91727,7,22
U00347,C029,2024-11,93.68,226,89718,1,6
U00348,C029,2024-12,30.89,389,85487,5,19
U00349,C030,2024-01,10.31,214,52365,1,4
U00350,C030,2024-02,12.52,177,49277,2,6
U00351,C030,2024-03,7.06,202,42980,4,14
U00352,C030,2024-04,22.63,320,49630,2,10
U00353,C030,2024-05,13.45,297,51290,2,10
U00354,C030,2024-06,15.18,210,49029,2,8
U00355,C030,2024-07,17.44,178,46270,2,10
U00356,C030,2024-08,12.12,74,52755,4,14
U00357,C030,2024-09,22.26,182,51439,3,7
U00358,C030,2024-10,25.04,166,50212,1,19
U00359,C030,2024-11,11.68,231,51799,3,14
U00360,C030,2024-12,13.4,169,51548,3,12
U00361,C031,2024-01,67.09,353,72500,3,19
U00362,C031,2024-02,81.57,225,83128,3,16
U00363,C031,2024-03,86.12,249,79369,4,16
U00364,C031,2024-04,32.88,213,82299,6,11
U00365,C031,2024-05,75.79,333,82037,6,19
U00366,C031,2024-06,61.9,265,86505,6,11
U00367,C031,2024-07,68.41,258,88200,7,12
U00368,C031,2024-08,33.88,249,95863,3,15
U00369,C031,2024-09,68.98,333,84145,0,6
U00370,C031,2024-10,69.47,308,77735,2,12
U00371,C031,2024-11,56.49,371,96195,2,22
U00372,C031,2024-12,42.69,301,88300,6,12
U00373,C032,2024-01,11.42,267,42663,1,9
U00374,C032,2024-02,10.88,190,58772,2,3
U00375,C032,2024-03,11.18,219,44500,0,3
U00376,C032,2024-04,7.82,175,54214,1,13
U00377,C032,2024-05,16.8,283,47276,4,1
U00378,C032,2024-06,16.56,171,47662,2,19
U00379,C032,2024-07,14.31,140,55548,1,8
U00380,C032,2024-08,13.45,267,55276,0,17
U00381,C032,2024-09,13.06,155,52787,2,4
U00382,C032,2024-10,15.81,165,52065,3,10
U00383,C032,2024-11,9.6,47,46219,0,2
U00384,C032,2024-12,7.77,51,51084,2,2
U00385,C033,2024-01,52.88,291,74305,1,9
U00386,C033,2024-02,43.48,315,87329,2,11
U00387,C033,2024-03,33.46,338,96139,5,8
U00388,C033,2024-04,24.09,301,92060,6,18
U00389,C033,2024-05,46.57,238,90109,4,14
U00390,C033,2024-06,55.37,278,92949,3,3
U00391,C033,2024-07,29.52,274,78736,6,6
U00392,C033,2024-08,65.6,406,82198,4,17
U00393,C033,2024-09,60.97,239,89652,4,13
U00394,C033,2024-10,56.39,159,81402,7,18
U00395,C033,2024-11,36.21,268,90413,8,13
U00396,C033,2024-12,32.22,414,89814,4,18
U00397,C034,2024-01,59.59,362,84985,5,15
U00398,C034,2024-02,43.72,339,88931,4,15
U00399,C034,2024-03,65.7,207,74112,8,13
U00400,C034,2024-04,62.23,336,78960,6,16
U00401,C034,2024-05,57.67,183,84756,8,12
U00402,C034,2024-06,76.17,367,89525,3,21
U00403,C034,2024-07,32.99,241,82678,6,21
U00404,C034,2024-08,57.63,239,78876,7,15
U00405,C034,2024-09,67.29,318,89831,6,13
U00406,C034,2024-10,70.97,350,85372,7,21
U00407,C034,2024-11,29.11,292,80895,2,18
U00408,C034,2024-12,69.85,280,72737,7,23
U00409,C035,2024-01,7.75,137,29152,1,5
U00410,C035,2024-02,2.55,141,29168,1,8
U00411,C035,2024-03,7.34,179,36328,0,6
U00412,C035,2024-04,7.49,84,31516,2,6
U00413,C035,2024-05,1.62,156,34160,0,8
U00414,C035,2024-06,1.39,125,27994,2,12
U00415,C035,2024-07,5.96,75,29150,1,3
U00416,C035,2024-08,5.89,78,24907,1,5
U00417,C035,2024-09,4.0,239,38769,1,11
U00418,C035,2024-10,1.91,91,26449,1,6
U00419,C035,2024-11,5.49,99,31681,2,5
U00420,C035,2024-12,7.8,126,36021,2,8
U00421,C036,2024-01,15.24,157,53840,1,4
U00422,C036,2024-02,13.13,231,46215,1,12
U00423,C036,2024-03,13.84,141,50970,3,6
U00424,C036,2024-04,12.58,254,51285,3,6
U00425,C036,2024-05,15.6,192,50829,4,6
U00426,C036,2024-06,7.5,246,52242,2,3
U00427,C036,2024-07,14.71,225,53982,0,12
U00428,C036,2024-08,10.59,230,49929,1,2
U00429,C036,2024-09,13.72,264,48321,2,8
U00430,C036,2024-10,16.34,173,53335,2,4
U00431,C036,2024-11,10.98,53,47081,1,7
U00432,C036,2024-12,19.94,187,47025,0,12
U00433,C037,2024-01,6.19,225,27578,2,14
U00434,C037,2024-02,8.14,127,34765,0,3
U00435,C037,2024-03,10.33,132,29649,0,3
U00436,C037,2024-04,3.63,190,32119,1,4
U00437,C037,2024-05,7.05,113,33239,1,4
U00438,C037,2024-06,4.53,182,29940,1,7
U00439,C037,2024-07,4.13,223,27159,0,3
U00440,C037,2024-08,8.1,161,29785,1,9
U00441,C037,2024-09,5.61,93,30085,0,10
U00442,C037,2024-10,7.27,165,31859,0,3
U00443,C037,2024-11,5.07,185,30213,0,9
U00444,C037,2024-12,6.96,202,33161,3,12
U00445,C038,2024-01,62.01,291,91872,0,11
U00446,C038,2024-02,65.61,254,86670,7,11
U00447,C038,2024-03,58.31,211,90103,7,18
U00448,C038,2024-04,65.34,183,95760,0,19
U00449,C038,2024-05,52.94,243,78215,4,7
U00450,C038,2024-06,55.53,200,91083,5,19
U00451,C038,2024-07,54.53,294,87768,7,13
U00452,C038,2024-08,53.75,404,97200,5,12
U00453,C038,2024-09,54.59,243,83584,10,6
U00454,C038,2024-10,42.05,214,83066,2,12
U00455,C038,2024-11,60.18,283,80045,9,3
U00456,C038,2024-12,60.71,248,82374,4,13
U00457,C039,2024-01,21.91,199,53883,1,14
U00458,C039,2024-02,28.33,234,46483,1,13
U00459,C039,2024-03,15.65,285,44389,1,11
U00460,C039,2024-04,16.79,144,44809,1,9
U00461,C039,2024-05,20.35,253,50044,1,14
U00462,C039,2024-06,17.36,169,52076,2,13
U00463,C039,2024-07,24.57,165,48448,2,5
U00464,C039,2024-08,15.6,231,55125,1,12
U00465,C039,2024-09,16.68,293,47070,1,14
U00466,C039,2024-10,18.44,213,48123,1,10
U00467,C039,2024-11,19.24,169,51859,1,8
U00468,C039,2024-12,12.59,177,48023,3,15
U00469,C040,2024-01,4.26,139,27905,0,6
U00470,C040,2024-02,9.38,158,36476,0,10
U00471,C040,2024-03,6.09,237,37221,2,8
U00472,C040,2024-04,4.86,129,26869,3,13
U00473,C040,2024-05,7.1,131,29001,1,10
U00474,C040,2024-06,5.85,114,27239,1,8
U00475,C040,2024-07,3.53,108,26798,0,6
U00476,C040,2024-08,5.21,151,26506,1,4
U00477,C040,2024-09,9.95,132,33343,2,7
U00478,C040,2024-10,7.78,139,29000,2,12
U00479,C040,2024-11,5.57,189,26058,2,12
U00480,C040,2024-12,2.65,121,22429,1,12
U00481,C041,2024-01,16.98,202,52747,1,9
U00482,C041,2024-02,12.35,154,45313,1,7
U00483,C041,2024-03,24.58,215,51987,2,4
U00484,C041,2024-04,7.46,254,50721,3,7
U00485,C041,2024-05,15.55,134,57201,2,4
U00486,C041,2024-06,9.35,53,49403,1,12
U00487,C041,2024-07,12.89,159,49519,2,9
U00488,C041,2024-08,21.84,161,49691,3,6
U00489,C041,2024-09,16.47,132,51437,1,6
U00490,C041,2024-10,9.65,256,45566,3,9
U00491,C041,2024-11,13.85,159,50977,1,7
U00492,C041,2024-12,19.97,235,55870,1,4
U00493,C042,2024-01,88.44,297,85045,1,25
U00494,C042,2024-02,48.42,443,82184,2,17
U00495,C042,2024-03,79.37,414,73700,0,20
U00496,C042,2024-04,74.63,440,91347,3,15
U00497,C042,2024-05,58.84,365,82374,5,22
U00498,C042,2024-06,85.21,475,83844,4,20
U00499,C042,2024-07,30.91,398,89250,7,18
U00500,C042,2024-08,81.5,349,80394,5,19
U00501,C042,2024-09,65.32,292,88992,0,19
U00502,C042,2024-10,65.75,324,89413,6,19
U00503,C042,2024-11,60.25,202,87043,2,17
U00504,C042,2024-12,63.89,366,104951,4,23
U00505,C043,2024-01,17.95,212,51177,2,5
U00506,C043,2024-02,24.65,76,52780,2,4
U00507,C043,2024-03,20.76,145,55319,3,16
U00508,C043,2024-04,18.8,141,47539,3,14
U00509,C043,2024-05,20.63,131,46009,1,15
U00510,C043,2024-06,13.29,297,50152,0,8
U00511,C043,2024-07,25.71,221,42617,2,7
U00512,C043,2024-08,15.6,186,46292,2,10
U00513,C043,2024-09,19.23,163,47583,3,14
U00514,C043,2024-10,27.46,307,45222,3,8
U00515,C043,2024-11,15.15,239,54871,2,11
U00516,C043,2024-12,15.52,210,50829,0,13
U00517,C044,2024-01,5.04,140,35887,0,6
U00518,C044,2024-02,5.46,108,38292,2,11
U00519,C044,2024-03,3.8,150,32282,0,8
U00520,C044,2024-04,6.31,200,27979,0,7
U00521,C044,2024-05,5.66,144,30938,2,9
U00522,C044,2024-06,6.53,154,22998,4,2
U00523,C044,2024-07,3.97,76,31994,2,13
U00524,C044,2024-08,2.39,76,27576,0,3
U00525,C044,2024-09,3.98,75,31756,0,7
U00526,C044,2024-10,0.1,8,25987,0,0
U00527,C044,2024-11,0.1,61,26090,2,0
U00528,C044,2024-12,0.1,0,30677,2,5
U00529,C045,2024-01,19.57,184,52086,4,11
U00530,C045,2024-02,17.1,222,52554,0,6
U00531,C045,2024-03,12.11,193,48886,3,14
U00532,C045,2024-04,18.6,194,56399,3,11
U00533,C045,2024-05,16.69,116,44714,2,14
U00534,C045,2024-06,13.64,287,49122,2,17
U00535,C045,2024-07,13.82,120,53273,1,13
U00536,C045,2024-08,15.82,95,51566,0,15
U00537,C045,2024-09,16.13,237,57982,2,15
U00538,C045,2024-10,11.37,140,41409,1,11
U00539,C045,2024-11,9.58,335,49731,2,3
U00540,C045,2024-12,20.52,214,50019,1,9
U00541,C046,2024-01,47.82,239,94100,3,14
U00542,C046,2024-02,40.99,257,86910,8,22
U00543,C046,2024-03,43.36,352,76200,4,14
U00544,C046,2024-04,52.0,253,81637,3,10
U00545,C046,2024-05,39.93,190,86701,5,19
U00546,C046,2024-06,49.58,195,91923,1,12
U00547,C046,2024-07,65.6,202,79880,4,13
U00548,C046,2024-08,44.56,331,83142,3,13
U00549,C046,2024-09,75.9,172,80389,7,18
U00550,C046,2024-10,74.29,359,87851,4,19
U00551,C046,2024-11,50.98,247,81762,5,15
U00552,C046,2024-12,14.39,328,91410,4,15
U00553,C047,2024-01,9.09,179,33534,2,1
U00554,C047,2024-02,4.89,108,35380,2,5
U00555,C047,2024-03,3.4,144,27459,2,4
U00556,C047,2024-04,8.32,80,26479,0,10
